,date,news,score,category
0,01月16,盈趣科技：利润率过于优秀,0.8962160765556467,1
1,01月16,康鹏科技：核心主业停滞不前 新业务增长“疑窦丛生”,0.881390934192544,1
2,01月16,昊海生科：业绩骤降 减值风险显现,0.8927181239861592,1
3,01月16,三房巷虚假陈述案诉讼时效即将到期 数百位受损股民已获赔偿,0.09107825200371134,0
4,01月14,2021年1月15日涨停板早知道：七大利好有望发酵,0.6434512293322677,1
5,01月13,2021年1月14日涨停板早知道：七大利好有望发酵,0.6623488804723078,1
6,01月12,2021年1月13日涨停板早知道：七大利好有望发酵,0.6732559175210753,1
7,01月11,2021年1月12日涨停板早知道：七大利好有望发酵,0.5947567701201621,1
8,01月10,2021年1月11日涨停板早知道：七大利好有望发酵,0.5307075484499711,1
9,01月07,2021年1月8日涨停板早知道：七大利好有望发酵,0.71283197339554,1
10,01月06,2021年1月7日涨停板早知道：七大利好有望发酵,0.7112208120332122,1
11,01月05,2021年1月6日涨停板早知道：七大利好有望发酵,0.6563298298057739,1
12,01月04,央行等6部委发布跨境人民币优化政策 产业迎来增量红利(附股),0.35292727711109395,0
13,01月04,春节不打烊：2021快递业务量预超千亿件 相关板块或收益(附股),0.0783838296715964,0
14,01月04,2021年1月5日涨停板早知道：七大利好有望发酵,0.7172542733977316,1
15,01月04,新能源汽车行业将维持高歌猛进态势 ModelY价格下调催化投资机会,0.9614312910298223,1
16,01月04,新能源汽车动力电池回收利用或提速 关注相关个股(附股),0.02206256767421466,0
17,01月04,快讯：东方日升、航发动力等股连续5天获融资净买入,0.9954281839972726,1
18,01月03,2021年1月4日涨停板早知道：七大利好有望发酵,0.6757668814679989,1
19,12月31,德冠新材IPO过会 禁塑令下毛利率落后同行、偿债压力在身,0.04068992254829873,0
20,12月31,瑞丽医美3天跌破发行价 活跃用户付费意愿下滑,0.41600092757708484,0
21,12月31,合力泰陷入合同纠纷 极力撇清与益丰泰关系 有何苦衷？,0.740514655626733,1
22,12月31,锦泓集团前三季亏超9亿 公司四年前的收购到底划算吗？,0.9882440710292211,1
23,12月31,美盛文化：5天股价跌25% 实控人拟转让股权,0.6343231185543768,1
24,12月31,红塔证券筹谋配股却遭接连减持 因违规被监管层责令整改,0.5147506584536287,1
25,12月31,宁德时代市值一天涨700多亿 拟投资三个电池制造基地,0.9902574038914373,1
26,12月30,2020年12月31日涨停板早知道：七大利好有望发酵,0.7893519655358018,1
27,12月30,上海银行：前三季度频收罚单 业绩下滑不良攀升,0.4916890466051965,0
28,12月30,携程：三季度净营收下滑48% 后疫情下如何突围？,0.11604561796747237,0
29,12月30,泡泡玛特：上市半月即陷经营风波 股价4日大跌19%,0.45978186096278795,0
30,12月30,中国一半青少年近视 欧普康视高额利润能赚多久？,0.6470070520170285,1
31,12月30,*ST天夏存终止上市风险 被执行总金额超1.87亿,0.6362671611585632,1
32,12月29,2020年12月30日涨停板早知道：七大利好有望发酵,0.6723717887545765,1
33,12月28,2020年12月29日涨停板早知道：七大利好有望发酵,0.6084820313505823,1
34,12月28,中信证券：给予酒鬼酒目标价160元 上调至买入评级,0.9514350990064953,1
35,12月27,2020年12月28日涨停板早知道：七大利好有望发酵,0.6653441955916666,1
36,12月25,我国空间站核心舱明年春季发射 航天相关个股投资价值显现(附股),0.9998251807326544,1
37,12月24,2020年12月25日涨停板早知道：七大利好有望发酵,0.6928000648957024,1
38,12月23,2020年12月24日涨停板早知道：七大利好有望发酵,0.691399315616676,1
39,12月23,农业股尾盘快速拉升 机构认为种植产业链投资机会来了,0.8921190605567723,1
40,12月22,2020年12月23日涨停板早知道：七大利好有望发酵,0.6833997503159674,1
41,12月22,非银金融板块加速走弱 机构认为后续上涨动能充足(附股),0.632900351526207,1
42,12月21,3大概念爆巨大利好：国新办重磅发布白皮书 或引领市场关注这些股,0.4183534605779884,0
43,12月21,2020年12月22日涨停板早知道：七大利好有望发酵,0.7463508959561231,1
44,12月20,2020年12月21日涨停板早知道：七大利好有望发酵,0.56935834569192,1
45,12月17,2020年12月18日涨停板早知道：七大利好有望发酵,0.7824949945802057,1
46,12月16,2020年12月17日涨停板早知道：七大利好有望发酵,0.6872853703132064,1
47,12月15,2020年12月16日涨停板早知道：七大利好有望发酵,0.5437470801475573,1
48,12月14,2020年12月15日涨停板早知道：七大利好有望发酵,0.6460624393551746,1
49,12月13,2020年12月14日涨停板早知道：七大利好有望发酵,0.6648937693584114,1
50,12月12,白酒、铁矿石、金融行情已轮番启动 三位一体补涨个股竟然是它,0.6636693211039697,1
51,12月12,2020年A股“戏精”排行榜：扇贝、李鬼、还有神笔马良,0.34314023152465234,0
52,12月12,34只创业板股最新筹码集中 4股股东户数降一成,0.04691720670459931,0
53,12月11,AI大潮将来袭：人工智能多领域应用 哪些产业链值得关注？(股),0.9822340721734701,1
54,12月11,煤炭行业景气度稳中向好 机构：板块具备较大的估值修复空间,0.525230319934272,1
55,12月10,三部门深入推进互联网医疗 相关概念股有望受益,0.9453744006207978,1
56,12月10,新一轮汽车下乡或将开展 机构建议关注这些主线(附股),0.619050464314654,1
57,12月10,饲料行业第9轮涨价潮来袭 多只概念股前三季度业绩翻倍(附股),0.6813387862865583,1
58,12月10,2020年12月11日涨停板早知道：七大利好有望发酵,0.5335458838275162,1
59,12月10,“十四五”需求暴增：光伏板块应声大涨 这2个细分领域最强,0.997592989967782,1
60,12月10,新一轮汽车下乡和以旧换新或将开展 机构建议关注这些车企(附股),0.31812309710903774,0
61,12月10,异质结设备国产化进展加速 机构看好这几股（附股）,0.009891560065960703,0
62,12月09,新冠疫苗接连传利好 概念股机会又来了（附股）,0.7617709090386195,1
63,12月09,机构看涨这些股：上涨空间最高还有120%（附名单）,0.032810383970385604,0
64,12月09,三星也不送充电头了？快充产业或成最大赢家：关注产业链公司,0.6806219022483238,1
65,12月09,2020年12月10日涨停板早知道：七大利好有望发酵,0.6218018982585473,1
66,12月09,铜箔价格持续上涨 相关公司有望受益（附股）,0.2578160235451775,0
67,12月08,2022年苹果或配备潜望式长焦镜头 关注行业龙头机会,0.9767996310490134,1
68,12月08,经济复苏加冬季采暖：煤价持续上行 板块或迎历史性配置机遇(股),0.9641067150773893,1
69,12月08,2020年12月9日涨停板早知道：七大利好有望发酵,0.5894542952073998,1
70,12月08,锂电板块火了：数只个股涨停 机构建议关注3个方面(附股),0.16413061894013425,0
71,12月08,Mini-LED即将进入商用元年 产业链相关公司将受益(附股),0.9039076422341621,1
72,12月08,军工行业发展有望迎来黄金时代 机构建议布局板块跨年行情(股),0.8984896845458389,1
73,12月08,抢装潮带热光伏组件行情：史上最大扩产季到来 两条主线布局,0.9952371448088255,1
74,12月08,汽车芯片价格上涨或延续 汽车零部件自主可控将是发展方向(附股),0.9667872331593571,1
75,12月08,苹果或加入潜望式镜头阵营 手机光学创新风声再起,0.9716573069717066,1
76,12月07,汽车行业遇“缺芯”：国产芯片的机会来了(附股),0.6531604476666831,1
77,12月07,黑色系主力期货再创新高：监管紧急启动 价格顶部正在形成(附股),0.09624038244768696,0
78,12月07,2020年12月8日涨停板早知道：七大利好有望发酵,0.7151599985383159,1
79,12月07,超高清产业迎重磅：市场规模或达万亿 如何布局超级蓝海？(股),0.9943260439464987,1
80,12月07,基本面支撑力强叠加旺季临近值得期待 机构坚定推荐白酒行业(股),0.9250024032546549,1
81,12月07,煤炭指数连续2期全面上涨 机构建议四维度布局煤炭板块(附股),0.07977403928438931,0
82,12月07,焦炭第八轮提涨落地 市场有望继续向好（附股）,0.440996956254203,0
83,12月06,2020年12月7日涨停板早知道：七大利好有望发酵,0.7135566500182896,1
84,12月04,“十四五”规划推出在即：国产替代迎加速 智能机器人站上风口,0.2924920471019137,0
85,12月04,商务部支持集装箱制造企业扩大产能 相关公司望获益(附股),0.8717508639593845,1
86,12月04,又一行业涨价了：这次轮到PCB 景气度或延续至明年一季度(附股),0.9933946532455206,1
87,12月03,2020年12月4日涨停板早知道：七大利好有望发酵,0.6782597638920624,1
88,12月02,2020年12月3日涨停板早知道：七大利好有望发酵,0.659060099133319,1
89,12月01,2020年12月2日涨停板早知道：七大利好有望发酵,0.5987475523670053,1
90,12月01,12月金股出炉：大金融获强推 顺周期空间仍有余量（名单）,0.6440802798031156,1
91,12月01,天空才是极限：比特币创历史新高 概念股名单奉上,0.259304542969238,0
92,12月01,11月券商金股收益放榜：最牛股暴涨近60% 12月名单奉上,0.007122277609127647,0
93,11月30,2020年12月1日涨停板早知道：七大利好有望发酵,0.5947567701201621,1
94,11月30,碳排放减少迫在眉睫 关注赛道稀缺龙头（附股）,0.34748315690253595,0
95,11月30,后疫情时期，高瓴资本赛道配置：继续重仓电商 加仓云计算领域,0.9999895556027665,1
96,11月29,2020年11月30日涨停板早知道：七大利好有望发酵,0.6125993913440019,1
97,11月28,本周114家公司遭股东减持 这5家公司被减持最多（附表格）,0.5063602437513983,1
98,11月26,2020年11月27日涨停板早知道：七大利好有望发酵,0.5828311700714786,1
99,11月26,世界5G大会举行：行业迎多重利好 投资机会有哪些？,0.9907440215476224,1
100,11月25,2020年11月26日涨停板早知道：七大利好有望发酵,0.5709226141257464,1
101,11月25,稀土价格持续上涨 相关公司或受关注（附股）,0.18504341771442367,0
102,11月24,成功挤掉苹果：小米手机全球销量挺进前三 背后有这些供应商,0.8687767799818036,1
103,11月24,2020年11月25日涨停板早知道：七大利好有望发酵,0.6347299194867233,1
104,11月24,特钢长牛时代来临？相关概念股持续走强,0.9918330700119063,1
105,11月23,2020年11月24日涨停板早知道：七大利好有望发酵,0.6332045730714689,1
106,11月23,年底冲关又看券商？11只券商股被坚定看好,0.037788696237097796,0
107,11月22,小电车蕴含大市场 机构称未来三年单车产量复合增长率将超30%(股),0.9873690252325346,1
108,11月22,2020年11月23日涨停板早知道：七大利好有望发酵,0.6245157294518607,1
109,11月22,*ST欧浦或面临退市:因公司控股股东佛山市中基投资宣告破产,0.5153807136953198,1
110,11月20,拉尼娜来袭 一文看清相关行业投资机会（附股）,0.9740097037573644,1
111,11月20,暴雪肆虐冷空气“发威”：煤炭供应趋紧 这些厂商躺赢？,0.06195916713930416,0
112,11月19,2020年11月20日涨停板早知道：七大利好有望发酵,0.5817280845062422,1
113,11月19,三大运营商或于年底宣布5G消息商用 产业链标的有望受益（附股）,0.7019603628938752,1
